"Hyde, Carlos",Ohio St.,RB,6.2,72,32.0,230,9.625,4.66,19.0,34.5,114.0,,
"Hyder, Kerry",Texas Tech,DL,4.9,74,33.5,290,9.75,5.1,20.0,29.5,108.0,7.23,
"Ikard, Gabe",Oklahoma,OL,5.2,76,33.125,304,9.625,5.13,22.0,26.0,103.0,7.3,4.37
"Jackson, Andrew",Western Kentucky,LB,5.23,73,32.5,254,9.5,,,,,,
"Jackson, Bennett",Notre Dame,DB,5.2,72,31.375,195,9.25,4.51,13.0,38.0,128.0,6.75,4.0
"Jackson, Gabe",Mississippi St.,OL,5.95,75,33.75,336,10.0,5.51,30.0,29.0,108.0,8.25,4.78
"Jacobs, Nic",McNeese St.,TE,5.0,77,34.125,269,10.0,,15.0,,,,
"James, Ja'Wuan",Tennessee,OL,5.65,78,35.0,311,9.875,5.34,22.0,29.0,103.0,7.42,4.56
"James, Kendall",Maine,DB,5.26,70,29.5,180,8.0,4.44,9.0,39.0,,6.81,4.19
"Janis, Jeff",Saginaw Valley St.,WO,5.34,75,32.5,219,9.0,4.42,20.0,37.5,123.0,6.64,3.98
"Jean-Baptiste, Sta",Nebraska,DB,5.29,75,32.375,218,8.625,4.61,13.0,41.5,128.0,,4.33
"Jeffcoat, Jackson",Texas,DL,5.15,75,33.875,247,9.625,4.63,18.0,36.0,123.0,6.97,
"Jensen, Marcel",Fresno St.,TE,5.26,78,34.875,259,9.875,4.85,24.0,35.0,115.0,7.38,4.6
"Jernigan, Timmy",Florida St.,DL,5.6,74,31.625,299,9.625,5.06,27.0,29.5,102.0,,
"Johnson, Anthony",LSU,DL,5.55,74,33.0,308,10.375,5.24,20.0,24.5,102.0,7.93,
"Johnson, Dontae",N.C. State,DB,5.32,74,31.5,200,8.625,4.45,12.0,38.5,124.0,6.82,4.24
"Johnson, Storm",Central Florida,RB,5.34,72,32.0,209,9.5,4.6,16.0,35.5,118.0,,
"Johnson, Wesley",Vanderbilt,OL,5.25,77,33.125,297,10.25,5.11,26.0,29.0,111.0,7.4,4.64
"Jones, Christian",Florida St.,LB,5.3,75,33.5,240,9.625,4.74,,33.5,115.0,,
"Jones, DaQuan",Penn St.,DL,5.65,76,33.5,322,9.625,5.35,25.0,27.5,101.0,7.73,
"Jones, Howard",Shepherd,DL,5.25,74,34.125,235,9.5,4.6,21.0,40.5,124.0,7.16,
"Jones, T.J.",Notre Dame,WO,5.35,72,30.625,188,10.0,4.48,,33.0,119.0,6.82,4.27
"Jordan, Reggie",Missouri Western,TE,5.18,75,32.25,240,9.625,4.77,24.0,30.0,116.0,7.22,4.3
"Josey, Henry",Missouri,RB,5.08,68,30.25,194,9.5,4.43,20.0,34.5,118.0,7.07,4.13
"Joyner, Lamarcus",Florida St.,DB,5.24,68,31.5,184,9.5,4.55,14.0,37.5,124.0,7.26,4.4
"Kennard, Devon",USC,LB,5.1,75,33.375,249,9.375,4.7,23.0,30.0,113.0,7.25,4.32
"Kerr, Zachariah",Delaware,DL,5.1,73,32.875,326,9.75,5.08,28.0,28.5,99.0,7.93,
"Kirksey, Christian",Iowa,LB,5.2,74,32.375,233,9.375,,16.0,32.0,122.0,,
"Kouandjio, Cyrus",Alabama,OL,5.75,79,35.625,322,10.25,5.59,21.0,27.5,96.0,7.71,4.84
"Ladler, Kenny",Vanderbilt,S,4.95,72,31.625,207,9.625,4.7,24.0,36.5,127.0,,
"Landry, Jarvis",LSU,WO,5.6,71,31.75,205,10.25,4.77,12.0,28.5,110.0,,
"Larsen, Tyler",Utah St.,OL,5.2,76,31.5,313,9.25,,36.0,23.5,102.0,8.22,4.7
"Latimer, Cody",Indiana,WO,5.24,74,32.625,215,9.625,,23.0,,,,
"Lawrence, Demarcus",Boise St.,DL,6.1,75,33.75,251,11.0,4.8,20.0,34.5,113.0,7.46,
"Lawson, Nevin",Utah St.,DB,4.8,69,31.5,190,9.0,4.48,16.0,33.0,120.0,7.12,4.4
"Lee, Marqise",USC,WO,6.2,72,31.75,192,9.5,4.52,,38.0,127.0,,4.01
"Leno Jr., Charles",Boise St.,OL,5.25,76,34.375,303,10.125,,21.0,29.0,108.0,7.57,4.4
"Leonard, A.C.",Tennessee St.,TE,5.03,74,33.0,252,9.25,4.5,20.0,34.0,128.0,,
"Leone, Richie",Houston,ST/P,4.95,75,31.75,211,8.875,,,,,,
"Lewan, Taylor",Michigan,OL,6.18,79,33.875,309,9.25,4.87,29.0,30.5,117.0,7.39,4.49
"Lewis, Isaiah",Michigan St.,S,5.18,70,31.5,211,9.625,4.6,15.0,36.5,122.0,7.05,4.47
"Linder, Brandon",Miami,OL,5.26,78,34.5,311,10.25,5.35,30.0,26.5,100.0,,
"Linsley, Corey",Ohio St.,OL,5.1,75,32.0,296,9.875,,36.0,27.0,,,
"Lokombo, Boseko",Oregon,LB,5.1,74,33.375,225,9.875,4.66,,,122.0,7.15,4.3
"Long, Spencer",Nebraska,OL,5.26,77,33.125,320,10.75,,,,,,
"Loston, Craig",LSU,S,5.55,71,30.75,217,9.75,4.65,12.0,32.5,119.0,7.15,4.35
"Lucas, Luke",Kansas St.,OL,5.16,80,36.75,316,10.0,,,,,,
"Lucas, Marcus",Missouri,WO,5.1,76,33.625,218,9.375,4.6,20.0,36.0,124.0,7.07,4.25
